City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
224,Namibe,AO,2022-09-15 04:57:25,-15.1961,12.1522,64.69,93,81,6.64
225,Avera,US,2022-09-15 04:51:23,33.194,-82.5271,66.54,65,0,6.38
226,Bonavista,CA,2022-09-15 04:57:26,48.6499,-53.1147,56.53,90,46,11.34
227,Gbadolite,CD,2022-09-15 04:55:10,4.2833,21.0167,69.01,97,98,1.14
228,Havelock,US,2022-09-15 04:54:33,34.8791,-76.9013,73.94,90,95,4.99
229,Amberley,US,2022-09-15 04:58:27,39.2048,-84.428,64.44,93,0,0.0
230,Luanda,AO,2022-09-15 04:57:38,-8.8368,13.2343,71.42,88,96,6.78
231,Moron,AR,2022-09-15 04:58:27,-34.6534,-58.6198,58.96,82,0,5.95
232,Edd,ER,2022-09-15 04:58:28,13.9297,41.6925,92.12,53,62,3.44
233,General Roca,AR,2022-09-15 04:58:28,-39.0333,-67.5833,62.62,24,97,9.86
234,Lompoc,US,2022-09-15 04:50:16,34.6391,-120.4579,63.32,90,0,13.8
235,Ponta Delgada,PT,2022-09-15 04:58:29,37.7333,-25.6667,77.5,100,75,9.22
236,Rabo De Peixe,PT,2022-09-15 04:58:29,37.8,-25.5833,76.28,87,75,9.22
237,Rosetta,EG,2022-09-15 04:58:30,31.4044,30.4164,76.96,57,0,9.33
238,Keffi,NG,2022-09-15 04:58:30,8.8486,7.8736,70.36,97,74,1.9
239,Sorland,NO,2022-09-15 04:50:10,67.667,12.6934,51.66,75,95,16.89
240,Bud,US,2022-09-15 04:58:30,39.447,-86.1758,63.91,96,0,3.67
241,Stabat,ID,2022-09-15 04:58:31,3.761,98.4513,84.4,54,90,3.47
242,Ludvika,SE,2022-09-15 04:58:32,60.1496,15.1878,48.6,90,100,8.48
243,Puerto Escondido,MX,2022-09-15 04:58:32,15.85,-97.0667,78.67,87,100,2.75
244,Coroico,BO,2022-09-15 04:58:32,-16.1889,-67.7271,58.24,99,100,0.96
245,Sangar,RU,2022-09-15 04:58:33,63.9242,127.4739,45.0,76,90,7.52
246,Serov,RU,2022-09-15 04:58:33,59.6033,60.5787,53.82,60,99,6.42
247,Tabory,RU,2022-09-15 04:58:33,58.5198,64.5495,56.57,56,52,6.31
248,Kununurra,AU,2022-09-15 04:58:34,-15.7667,128.7333,102.18,25,40,9.22
249,Rudbar,AF,2022-09-15 04:58:34,30.15,62.6,88.84,10,0,7.11
250,Jamame,SO,2022-09-15 04:58:35,0.0722,42.7506,78.22,73,75,13.73
251,Douala,CM,2022-09-15 04:58:35,4.0483,9.7043,75.11,100,75,2.3
252,Nome,US,2022-09-15 04:58:35,64.5011,-165.4064,49.15,93,100,6.91
253,Buala,SB,2022-09-15 04:58:36,-8.145,159.5921,83.91,71,27,6.91
254,Flin Flon,CA,2022-09-15 04:54:56,54.7682,-101.865,43.38,96,18,5.7
255,Nhulunbuy,AU,2022-09-15 04:55:15,-12.2333,136.7667,88.41,55,20,14.97
256,Bhadrachalam,IN,2022-09-15 04:58:36,17.6667,80.8833,85.53,73,90,7.49
257,Haines Junction,CA,2022-09-15 04:51:20,60.7522,-137.5108,39.15,87,100,2.3
